"group" "ints" "reals"
"1" "c" 5 -2.01742872863471
"2" "b" 5 -0.881948191980151
"3" "b" 7 0.27598452672567
"4" "b" 5 0.949447424173432
"5" "c" 4 -0.227684548241094
"6" "b" 3 0.694847972512064
"7" "b" 6 1.62243182191353
"8" "c" 8 -0.542610770731512
"9" "b" 7 1.16530481583557
"10" "b" 5 0.511882426948862
"11" "a" 5 0.423655755179891
"12" "c" 5 -0.827302901289014
"13" "c" 8 0.382048792722066
"14" "a" 6 -0.99606520422181
"15" "c" 6 1.14688153535313
"16" "c" 3 0.682890917970226
"17" "b" 5 -1.27675613979613
"18" "c" 7 -0.0725416999730021
"19" "a" 3 1.70658792031986
"20" "c" 7 -0.696263845909869
"21" "b" 7 1.08622327726004
"22" "b" 8 -1.28367116494223
"23" "a" 6 -0.0901644464281374
"24" "b" 7 0.0241592298032609
"25" "c" 7 -2.47559719580349
"26" "b" 4 0.571871292109321
"27" "c" 5 1.32792093858118
"28" "a" 6 0.676102620815078
"29" "b" 6 -0.809018821305654
"30" "a" 4 -0.151390278981436
"31" "a" 6 -0.618516471180593
"32" "c" 6 -1.5456367095545
"33" "b" 5 0.108590776553471
"34" "b" 8 -0.0570372771426022
"35" "c" 4 -0.994139461529313
"36" "c" 6 -1.22597243512565
"37" "b" 5 0.498097465501105
"38" "b" 5 -1.96987476629663
"39" "b" 5 0.393236102356592
"40" "b" 5 -0.758610862302859
"41" "c" 6 -0.157971051553934
"42" "c" 3 -1.39361118760675
"43" "b" 5 0.171793573117508
"44" "a" 4 2.13604555788707
"45" "b" 5 -0.252407699209342
"46" "c" 6 0.363144080324644
"47" "b" 6 -0.00263910677275636
"48" "c" 6 -0.185919184623515
"49" "a" 5 -0.305207611871925
"50" "a" 7 -0.367992689456879
"51" "b" 3 0.125838080657544
"52" "a" 7 3.40719435745301
"53" "b" 9 -0.700281916830303
"54" "c" 6 0.710573981609808
"55" "c" 3 1.04831964041243
"56" "b" 5 -0.218045116709035
"57" "a" 2 -1.67765741155692
"58" "b" 2 -0.749759461660785
"59" "a" 6 -2.18674633825888
"60" "a" 4 -0.88531030839112
"61" "c" 4 0.600261584896186
"62" "c" 7 -0.685462607483927
"63" "a" 7 -0.965365126403198
"64" "a" 6 0.25635791488949
"65" "a" 3 -0.70936267434568
"66" "c" 5 -0.778747738589205
"67" "c" 4 0.442388197096966
"68" "a" 10 0.471001304049732
"69" "b" 4 -0.260736020695973
"70" "b" 6 0.635461385143548
"71" "b" 7 1.77097913653494
"72" "c" 4 -0.219475280800284
